BABA	Alibaba Group Holding Ltd.	BABA.N
USDCNH	US Dollar vs Offshore Renminbi	USDCNH
USDPLN	US Dollar vs Polish Zloty	USDPLN
USDRON	US dollar vs Romanian Leu	USDRON
USDRUB	US Dollar vs Russian Ruble	USDRUB
USDSGD	US Dollar vs Singapore Dollar	USDSGD
USDZAR	US Dollar vs South African Rand	USDZAR
USDSEK	US dollar vs Swedish krona	USDSEK
USDCHF	US Dollar vs Swiss Franc	USDCHF
USDTRY	US Dollar vs Turkish Lira	USDTRY
NDX100	US Tech 100	NDX100
WS30	Wall Street 30	WS30
WHEAT	Wheat	WHEAT.ecn
XTIUSD	XTI vs US Dollar	XTIUSD.lmx
XTUUSD	XTU vs US Dollar	XTUUSD.lmx
XZN	Zinc	XZN.ecn
